yaml_file	sequence_length	peak_memory_mb	runtime_seconds	success	failure_reason	timestamp
BR_P0DKJ0.yaml	39	2747	93.25	TRUE	Process completed successfully with valid output	2025/7/21 18:30
BR_A0A1P8AXK3.yaml	42	2749	81.7	TRUE	Process completed successfully with valid output	2025/7/21 18:31
BR_A0A1P8AUW5.yaml	44	2751	82	TRUE	Process completed successfully with valid output	2025/7/21 18:33
BR_A0A1I9LPG1.yaml	45	2751	82.03	TRUE	Process completed successfully with valid output	2025/7/21 18:34
BR_A0A1I9LPG0.yaml	46	2765	80.61	TRUE	Process completed successfully with valid output	2025/7/21 18:36
BR_A0A1P8B012.yaml	47	2765	81.3	TRUE	Process completed successfully with valid output	2025/7/21 18:37
BR_A0A1I9LPI9.yaml	51	2767	81.34	TRUE	Process completed successfully with valid output	2025/7/21 18:39
BR_P0DKI9.yaml	52	2759	82.04	TRUE	Process completed successfully with valid output	2025/7/21 18:40
BR_A0A1P8AV14.yaml	53	2773	81.17	TRUE	Process completed successfully with valid output	2025/7/21 18:42
BR_A0A1P8AY13.yaml	54	2773	81.46	TRUE	Process completed successfully with valid output	2025/7/21 18:43
BR_F4JCA6.yaml	55	2765	81.44	TRUE	Process completed successfully with valid output	2025/7/21 18:45
BR_A0A1I9LQ91.yaml	56	2767	81.64	TRUE	Process completed successfully with valid output	2025/7/21 18:46
BR_Q3ED37.yaml	58	2787	81.1	TRUE	Process completed successfully with valid output	2025/7/21 18:48
BR_P62120.yaml	59	2789	82.04	TRUE	Process completed successfully with valid output	2025/7/21 18:49
BR_A0A1P8B936.yaml	60	2791	83.07	TRUE	Process completed successfully with valid output	2025/7/21 18:51
BR_A0A1P8BFI2.yaml	61	2791	81.33	TRUE	Process completed successfully with valid output	2025/7/21 18:52
BR_F4I697.yaml	62	2791	81.21	TRUE	Process completed successfully with valid output	2025/7/21 18:54
BR_P61039.yaml	63	2841	81.17	TRUE	Process completed successfully with valid output	2025/7/21 18:55
BR_A0A1P8B2W8.yaml	64	2791	81.71	TRUE	Process completed successfully with valid output	2025/7/21 18:57
BR_B3H4J6.yaml	65	2797	81.57	TRUE	Process completed successfully with valid output	2025/7/21 18:58
BR_A0A1P8BG84.yaml	66	2799	81.38	TRUE	Process completed successfully with valid output	2025/7/21 19:00
BR_B3H619.yaml	67	2797	82.07	TRUE	Process completed successfully with valid output	2025/7/21 19:01
BR_Q8LGA4.yaml	68	2801	81.66	TRUE	Process completed successfully with valid output	2025/7/21 19:03
BR_B3H5Y6.yaml	69	2801	81.59	TRUE	Process completed successfully with valid output	2025/7/21 19:04
BR_B3H5W5.yaml	70	2801	81.5	TRUE	Process completed successfully with valid output	2025/7/21 19:06
BR_B3H4V8.yaml	71	2801	80.89	TRUE	Process completed successfully with valid output	2025/7/21 19:07
BR_B3H5S1.yaml	72	2811	81.63	TRUE	Process completed successfully with valid output	2025/7/21 19:08
BR_P62095.yaml	73	2895	82.56	TRUE	Process completed successfully with valid output	2025/7/21 19:10
BR_B3H770.yaml	74	2807	83.03	TRUE	Process completed successfully with valid output	2025/7/21 19:12
BR_B3H5I4.yaml	75	2807	83.28	TRUE	Process completed successfully with valid output	2025/7/21 19:13
BR_B3H5C2.yaml	76	2821	81.48	TRUE	Process completed successfully with valid output	2025/7/21 19:15
BR_B3H6C0.yaml	77	2821	81.63	TRUE	Process completed successfully with valid output	2025/7/21 19:16
BR_B3H4M6.yaml	78	2815	81.75	TRUE	Process completed successfully with valid output	2025/7/21 19:17
BR_A0A1P8AXS1.yaml	79	2833	83.42	TRUE	Process completed successfully with valid output	2025/7/21 19:19
BR_B3H4Z0.yaml	80	2821	82.25	TRUE	Process completed successfully with valid output	2025/7/21 19:20
BR_F4JDL5.yaml	81	2933	85.49	TRUE	Process completed successfully with valid output	2025/7/21 19:22
BR_Q9FKK8.yaml	82	2831	83.49	TRUE	Process completed successfully with valid output	2025/7/21 19:24
BR_A0A1P8ANB8.yaml	83	2827	82.03	TRUE	Process completed successfully with valid output	2025/7/21 19:25
BR_B3H4J5.yaml	84	2841	82.93	TRUE	Process completed successfully with valid output	2025/7/21 19:27
BR_B3H4Y7.yaml	85	2835	82.69	TRUE	Process completed successfully with valid output	2025/7/21 19:28
BR_B3H6H5.yaml	86	2837	83.25	TRUE	Process completed successfully with valid output	2025/7/21 19:30
BR_B3H7L4.yaml	87	2847	82.89	TRUE	Process completed successfully with valid output	2025/7/21 19:31
BR_Q9ZNS6.yaml	88	4847	85.44	TRUE	Process completed successfully with valid output	2025/7/21 19:33
BR_B3H5I2.yaml	89	2841	83.33	TRUE	Process completed successfully with valid output	2025/7/21 19:34
BR_Q8S8K5.yaml	90	3141	85.84	TRUE	Process completed successfully with valid output	2025/7/21 19:36
BR_Q0WR81.yaml	91	2871	84.59	TRUE	Process completed successfully with valid output	2025/7/21 19:37
BR_Q2V333.yaml	92	2857	83.12	TRUE	Process completed successfully with valid output	2025/7/21 19:39
BR_F4JUQ3.yaml	93	2873	84.08	TRUE	Process completed successfully with valid output	2025/7/21 19:40
BR_A0A1P8BHB4.yaml	94	2897	83.62	TRUE	Process completed successfully with valid output	2025/7/21 19:42
BR_A0A1P8ATP0.yaml	95	2865	83.14	TRUE	Process completed successfully with valid output	2025/7/21 19:43
BR_A0A1P8BEK1.yaml	96	2867	84.18	TRUE	Process completed successfully with valid output	2025/7/21 19:45
BR_Q9ZUQ5.yaml	97	5187	85.78	TRUE	Process completed successfully with valid output	2025/7/21 19:46
BR_Q0WN71.yaml	98	2971	84.43	TRUE	Process completed successfully with valid output	2025/7/21 19:48
BR_A0A1P8B830.yaml	99	2879	83.32	TRUE	Process completed successfully with valid output	2025/7/21 19:50
BR_Q9FL57.yaml	100	3481	85.17	TRUE	Process completed successfully with valid output	2025/7/21 19:51
BR_Q3EB24.yaml	101	2881	85.68	TRUE	Process completed successfully with valid output	2025/7/21 19:53
BR_B3H6M0.yaml	102	2907	84.83	TRUE	Process completed successfully with valid output	2025/7/21 19:54
BR_Q9SN98.yaml	103	2889	83.2	TRUE	Process completed successfully with valid output	2025/7/21 19:56
BR_Q9FLU6.yaml	104	2933	84.92	TRUE	Process completed successfully with valid output	2025/7/21 19:57
BR_Q8W483.yaml	105	2893	84.59	TRUE	Process completed successfully with valid output	2025/7/21 19:59
BR_O64466.yaml	106	3457	84.49	TRUE	Process completed successfully with valid output	2025/7/21 20:00
BR_Q9ZUL8.yaml	107	3865	85.22	TRUE	Process completed successfully with valid output	2025/7/21 20:02
BR_Q8LEB7.yaml	108	2917	84.55	TRUE	Process completed successfully with valid output	2025/7/21 20:03
BR_A0A1P8AQ86.yaml	109	5869	86.02	TRUE	Process completed successfully with valid output	2025/7/21 20:05
BR_Q8LDN4.yaml	110	2943	84.39	TRUE	Process completed successfully with valid output	2025/7/21 20:06
BR_Q1G3C4.yaml	111	5555	86.27	TRUE	Process completed successfully with valid output	2025/7/21 20:08
BR_Q0V819.yaml	112	2959	85.65	TRUE	Process completed successfully with valid output	2025/7/21 20:10
BR_A0A1P8BEV7.yaml	113	2951	84.76	TRUE	Process completed successfully with valid output	2025/7/21 20:11
BR_Q56XB0.yaml	114	2953	84.58	TRUE	Process completed successfully with valid output	2025/7/21 20:13
BR_Q2V3L0.yaml	115	2985	85.31	TRUE	Process completed successfully with valid output	2025/7/21 20:14
BR_Q570N6.yaml	116	3033	85.51	TRUE	Process completed successfully with valid output	2025/7/21 20:16
BR_F4IC04.yaml	117	2993	86.47	TRUE	Process completed successfully with valid output	2025/7/21 20:17
BR_Q8L953.yaml	118	4365	87.38	TRUE	Process completed successfully with valid output	2025/7/21 20:19
BR_Q9SKM7.yaml	119	2981	86.83	TRUE	Process completed successfully with valid output	2025/7/21 20:21
BR_A0A1P8B7P2.yaml	120	2995	85.2	TRUE	Process completed successfully with valid output	2025/7/21 20:22
BR_A8MS25.yaml	121	3001	86.8	TRUE	Process completed successfully with valid output	2025/7/21 20:24
BR_Q1G3S5.yaml	122	3009	86.48	TRUE	Process completed successfully with valid output	2025/7/21 20:25
BR_Q9SMN3.yaml	123	3435	86.97	TRUE	Process completed successfully with valid output	2025/7/21 20:27
BR_F4I9B6.yaml	124	3023	86.77	TRUE	Process completed successfully with valid output	2025/7/21 20:28
BR_A8MRM7.yaml	125	3029	86.6	TRUE	Process completed successfully with valid output	2025/7/21 20:30
BR_A0A1P8ARS6.yaml	126	2997	86.96	TRUE	Process completed successfully with valid output	2025/7/21 20:32
BR_A0A1P8AZ61.yaml	127	3037	87.41	TRUE	Process completed successfully with valid output	2025/7/21 20:33
BR_Q56YK7.yaml	128	3013	87.79	TRUE	Process completed successfully with valid output	2025/7/21 20:35
BR_Q9SRW1.yaml	129	6551	88.81	TRUE	Process completed successfully with valid output	2025/7/21 20:36
BR_Q8LG60.yaml	130	3573	86.73	TRUE	Process completed successfully with valid output	2025/7/21 20:38
BR_Q1A173.yaml	131	6613	88.52	TRUE	Process completed successfully with valid output	2025/7/21 20:39
BR_Q8S8M0.yaml	132	3083	87	TRUE	Process completed successfully with valid output	2025/7/21 20:41
BR_Q6DUW7.yaml	133	3057	87.35	TRUE	Process completed successfully with valid output	2025/7/21 20:43
BR_Q9M2N7.yaml	134	3067	87.25	TRUE	Process completed successfully with valid output	2025/7/21 20:44
BR_Q6NMQ7.yaml	135	4223	86.99	TRUE	Process completed successfully with valid output	2025/7/21 20:46
BR_Q8L8Z8.yaml	136	6781	88.25	TRUE	Process completed successfully with valid output	2025/7/21 20:47
BR_Q9FF39.yaml	137	4965	87.55	TRUE	Process completed successfully with valid output	2025/7/21 20:49
BR_A0A1P8B1T3.yaml	138	3103	85.59	TRUE	Process completed successfully with valid output	2025/7/21 20:51
BR_B3H6Q9.yaml	139	3197	86.55	TRUE	Process completed successfully with valid output	2025/7/21 20:52
BR_Q9C6D7.yaml	140	3201	87.27	TRUE	Process completed successfully with valid output	2025/7/21 20:54
BR_Q9M9B4.yaml	141	3603	87.68	TRUE	Process completed successfully with valid output	2025/7/21 20:55
BR_O49636.yaml	142	5429	89.65	TRUE	Process completed successfully with valid output	2025/7/21 20:57
BR_Q8GWA4.yaml	143	3637	87.6	TRUE	Process completed successfully with valid output	2025/7/21 20:59
BR_Q3EAP6.yaml	144	3237	87.62	TRUE	Process completed successfully with valid output	2025/7/21 21:00
BR_A0A1P8B7E7.yaml	145	3099	86.23	TRUE	Process completed successfully with valid output	2025/7/21 21:02
BR_Q5XV37.yaml	146	3133	87.15	TRUE	Process completed successfully with valid output	2025/7/21 21:03
BR_Q9FKU6.yaml	147	3727	87.8	TRUE	Process completed successfully with valid output	2025/7/21 21:05
BR_Q058G7.yaml	148	3221	87.16	TRUE	Process completed successfully with valid output	2025/7/21 21:06
BR_A7REC9.yaml	149	3315	87.81	TRUE	Process completed successfully with valid output	2025/7/21 21:08
BR_Q9ZSJ6.yaml	150	3277	87.04	TRUE	Process completed successfully with valid output	2025/7/21 21:10
BR_A0A1I9LQY5.yaml	151	3149	88.06	TRUE	Process completed successfully with valid output	2025/7/21 21:11
BR_Q9SUW7.yaml	152	4479	88.19	TRUE	Process completed successfully with valid output	2025/7/21 21:13
BR_Q9LJU6.yaml	153	5063	89.02	TRUE	Process completed successfully with valid output	2025/7/21 21:14
BR_Q9LVC9.yaml	154	3257	87.88	TRUE	Process completed successfully with valid output	2025/7/21 21:16
BR_A0A1P8B3W6.yaml	155	3191	88.79	TRUE	Process completed successfully with valid output	2025/7/21 21:18
BR_Q9LUA3.yaml	156	3173	88.73	TRUE	Process completed successfully with valid output	2025/7/21 21:19
BR_Q9M0C2.yaml	157	6679	90.46	TRUE	Process completed successfully with valid output	2025/7/21 21:21
BR_F4IUB8.yaml	158	3191	88.84	TRUE	Process completed successfully with valid output	2025/7/21 21:22
BR_Q29Q07.yaml	159	3195	88.57	TRUE	Process completed successfully with valid output	2025/7/21 21:24
BR_Q8LCH9.yaml	160	7583	90.94	TRUE	Process completed successfully with valid output	2025/7/21 21:26
BR_Q9LU15.yaml	161	5425	90.7	TRUE	Process completed successfully with valid output	2025/7/21 21:27
BR_O23020.yaml	162	4997	90.44	TRUE	Process completed successfully with valid output	2025/7/21 21:29
BR_F4HV36.yaml	163	4213	89.53	TRUE	Process completed successfully with valid output	2025/7/21 21:31
BR_Q9FHS0.yaml	164	5665	90.89	TRUE	Process completed successfully with valid output	2025/7/21 21:32
BR_Q9FRL0.yaml	165	3233	89.54	TRUE	Process completed successfully with valid output	2025/7/21 21:34
BR_F4HXX2.yaml	166	3255	89.29	TRUE	Process completed successfully with valid output	2025/7/21 21:36
BR_Q9FF19.yaml	167	3745	89.73	TRUE	Process completed successfully with valid output	2025/7/21 21:37
BR_Q6NMD9.yaml	168	3273	89.01	TRUE	Process completed successfully with valid output	2025/7/21 21:39
BR_Q8RXL7.yaml	169	3471	89.55	TRUE	Process completed successfully with valid output	2025/7/21 21:40
BR_Q94F57.yaml	170	3353	89.64	TRUE	Process completed successfully with valid output	2025/7/21 21:42
BR_Q8VXX9.yaml	171	3515	92.71	TRUE	Process completed successfully with valid output	2025/7/21 21:44
BR_F4I354.yaml	172	5965	92.12	TRUE	Process completed successfully with valid output	2025/7/21 21:45
BR_A0A1P8AM80.yaml	173	3357	89.93	TRUE	Process completed successfully with valid output	2025/7/21 21:47
BR_Q8GXV0.yaml	174	4143	90.53	TRUE	Process completed successfully with valid output	2025/7/21 21:49
BR_O80669.yaml	175	3487	89.93	TRUE	Process completed successfully with valid output	2025/7/21 21:50
BR_O04848.yaml	176	8241	92.8	TRUE	Process completed successfully with valid output	2025/7/21 21:52
BR_F4J7T7.yaml	177	3279	89.53	TRUE	Process completed successfully with valid output	2025/7/21 21:54
BR_A0A1P8B104.yaml	178	3319	88.84	TRUE	Process completed successfully with valid output	2025/7/21 21:55
BR_Q9FGX6.yaml	179	3513	90.69	TRUE	Process completed successfully with valid output	2025/7/21 21:57
BR_P49637.yaml	180	7993	94.46	TRUE	Process completed successfully with valid output	2025/7/21 21:59
BR_Q9XI32.yaml	181	3413	91.17	TRUE	Process completed successfully with valid output	2025/7/21 22:00
BR_O04090.yaml	182	8453	94.08	TRUE	Process completed successfully with valid output	2025/7/21 22:02
BR_Q9LF57.yaml	183	8489	93.52	TRUE	Process completed successfully with valid output	2025/7/21 22:04
BR_P42746.yaml	184	8523	93.79	TRUE	Process completed successfully with valid output	2025/7/21 22:05
BR_Q9FFY3.yaml	185	4705	91.55	TRUE	Process completed successfully with valid output	2025/7/21 22:07
BR_O65674.yaml	186	8619	93.97	TRUE	Process completed successfully with valid output	2025/7/21 22:09
BR_Q9LMC0.yaml	187	3381	90.88	TRUE	Process completed successfully with valid output	2025/7/21 22:10
BR_Q8W1B3.yaml	188	3645	91.29	TRUE	Process completed successfully with valid output	2025/7/21 22:12
BR_Q9LXP6.yaml	189	3381	91.3	TRUE	Process completed successfully with valid output	2025/7/21 22:14
BR_Q9M812.yaml	190	4793	91.75	TRUE	Process completed successfully with valid output	2025/7/21 22:15
BR_P59233.yaml	191	8809	94.68	TRUE	Process completed successfully with valid output	2025/7/21 22:17
BR_Q9LXN8.yaml	192	7127	93.59	TRUE	Process completed successfully with valid output	2025/7/21 22:19
BR_Q9LYQ9.yaml	193	3503	91.46	TRUE	Process completed successfully with valid output	2025/7/21 22:20
BR_O65541.yaml	194	8923	94.65	TRUE	Process completed successfully with valid output	2025/7/21 22:22
BR_O23119.yaml	195	3479	91.75	TRUE	Process completed successfully with valid output	2025/7/21 22:24
BR_Q8LF93.yaml	196	4001	92.27	TRUE	Process completed successfully with valid output	2025/7/21 22:25
BR_A0A1P8ARB6.yaml	197	3465	91.69	TRUE	Process completed successfully with valid output	2025/7/21 22:27
BR_P0DH93.yaml	198	9071	95.67	TRUE	Process completed successfully with valid output	2025/7/21 22:29
BR_Q2V3P0.yaml	199	3983	93.46	TRUE	Process completed successfully with valid output	2025/7/21 22:30
BR_Q8VZ37.yaml	200	7009	94.21	TRUE	Process completed successfully with valid output	2025/7/21 22:32
BR_O64835.yaml	201	3459	92.26	TRUE	Process completed successfully with valid output	2025/7/21 22:34
BR_F4J1T2.yaml	202	3831	92.64	TRUE	Process completed successfully with valid output	2025/7/21 22:35
BR_Q9LMJ2.yaml	203	4235	93.15	TRUE	Process completed successfully with valid output	2025/7/21 22:37
BR_Q9SX68.yaml	204	9335	95.96	TRUE	Process completed successfully with valid output	2025/7/21 22:39
BR_A0A1P8AZD4.yaml	205	3535	92.97	TRUE	Process completed successfully with valid output	2025/7/21 22:41
BR_O81625.yaml	206	3537	92.87	TRUE	Process completed successfully with valid output	2025/7/21 22:42
BR_Q9LYL4.yaml	207	3569	93.4	TRUE	Process completed successfully with valid output	2025/7/21 22:44
BR_O82623.yaml	208	9483	96.05	TRUE	Process completed successfully with valid output	2025/7/21 22:46
BR_Q5XVJ3.yaml	209	3761	93.07	TRUE	Process completed successfully with valid output	2025/7/21 22:47
BR_Q6NLB6.yaml	210	3593	92.59	TRUE	Process completed successfully with valid output	2025/7/21 22:49
BR_Q9M8L3.yaml	211	4231	94.2	TRUE	Process completed successfully with valid output	2025/7/21 22:51
BR_O49595.yaml	212	9641	96.41	TRUE	Process completed successfully with valid output	2025/7/21 22:53
BR_Q3EDB8.yaml	213	4073	94.43	TRUE	Process completed successfully with valid output	2025/7/21 22:54
BR_Q9LHK1.yaml	214	9681	96.75	TRUE	Process completed successfully with valid output	2025/7/21 22:56
BR_Q7XA63.yaml	215	6623	95.46	TRUE	Process completed successfully with valid output	2025/7/21 22:58
BR_Q940U2.yaml	216	3781	93.62	TRUE	Process completed successfully with valid output	2025/7/21 22:59
BR_Q9CA32.yaml	217	4033	95.01	TRUE	Process completed successfully with valid output	2025/7/21 23:01
BR_Q9SDY5.yaml	218	9869	97.49	TRUE	Process completed successfully with valid output	2025/7/21 23:03
BR_O80553.yaml	219	4077	94.07	TRUE	Process completed successfully with valid output	2025/7/21 23:05
BR_Q8LEK2.yaml	220	6267	95.48	TRUE	Process completed successfully with valid output	2025/7/21 23:06
BR_Q3E7J8.yaml	221	3881	94.36	TRUE	Process completed successfully with valid output	2025/7/21 23:08
BR_A0A1P8B5J9.yaml	222	3729	93.31	TRUE	Process completed successfully with valid output	2025/7/21 23:10
BR_Q9FMV4.yaml	223	3749	95.17	TRUE	Process completed successfully with valid output	2025/7/21 23:11
BR_Q9C8D7.yaml	224	4539	94.65	TRUE	Process completed successfully with valid output	2025/7/21 23:13
BR_Q9LK61.yaml	225	10217	97.83	TRUE	Process completed successfully with valid output	2025/7/21 23:15
